"","matching_names_BL_V7","matching_names_jetz"
"1636","Hirundo nigricans","Hirundo nigricans"
"1637","Hirundo ariel","Hirundo ariel"
"1638","Spizixos canifrons","Spizixos canifrons"
"1639","Pycnonotus zeylanicus","Pycnonotus zeylanicus"
"1640","Pycnonotus striatus","Pycnonotus striatus"
"1641","Pycnonotus leucogrammicus","Pycnonotus leucogrammicus"
"1642","Pycnonotus tympanistrigus","Pycnonotus tympanistrigus"
"1643","Pycnonotus melanoleucos","Pycnonotus melanoleucos"
"1644","Pycnonotus atriceps","Pycnonotus atriceps"
"1645","Pycnonotus melanicterus","Pycnonotus melanicterus"
"1646","Pycnonotus squamatus","Pycnonotus squamatus"
"1647","Pycnonotus cyaniventris","Pycnonotus cyaniventris"
"1648","Pycnonotus jocosus","Pycnonotus jocosus"
"1649","Pycnonotus xanthorrhous","Pycnonotus xanthorrhous"
"1650","Pycnonotus sinensis","Pycnonotus sinensis"
"1651","Pycnonotus cafer","Pycnonotus cafer"
"1652","Pycnonotus aurigaster","Pycnonotus aurigaster"
"1653","Pycnonotus eutilotus","Pycnonotus eutilotus"
"1654","Pycnonotus nieuwenhuisii","Pycnonotus nieuwenhuisii"
"1655","Pycnonotus urostictus","Pycnonotus urostictus"
"1656","Pycnonotus bimaculatus","Pycnonotus bimaculatus"
"1657","Pycnonotus finlaysoni","Pycnonotus finlaysoni"
"1658","Pycnonotus flavescens","Pycnonotus flavescens"
"1659","Pycnonotus goiavier","Pycnonotus goiavier"
"1660","Pycnonotus plumosus","Pycnonotus plumosus"
"1661","Pycnonotus blanfordi","Pycnonotus blanfordi"
"1662","Pycnonotus simplex","Pycnonotus simplex"
"1663","Pycnonotus brunneus","Pycnonotus brunneus"
"1664","Pycnonotus erythropthalmos","Pycnonotus erythropthalmos"
"1665","Alophoixus finschii","Alophoixus finschii"
"1666","Alophoixus flaveolus","Alophoixus flaveolus"
"1667","Alophoixus pallidus","Alophoixus pallidus"
"1668","Alophoixus ochraceus","Alophoixus ochraceus"
"1669","Alophoixus bres","Alophoixus bres"
"1670","Alophoixus phaeocephalus","Alophoixus phaeocephalus"
"1671","Alophoixus affinis","Alophoixus affinis"
"1672","Setornis criniger","Setornis criniger"
"1673","Tricholestes criniger","Tricholestes criniger"
"1674","Iole virescens","Iole virescens"
"1675","Iole propinqua","Iole propinqua"
"1676","Iole olivacea","Iole olivacea"
"1677","Ixos palawanensis","Ixos palawanensis"
"1678","Ixos philippinus","Ixos philippinus"
"1679","Ixos rufigularis","Ixos rufigularis"
"1680","Ixos siquijorensis","Ixos siquijorensis"
"1681","Ixos everetti","Ixos everetti"
"1682","Ixos malaccensis","Ixos malaccensis"
"1683","Hemixos flavala","Hemixos flavala"
"1684","Hemixos castanonotus","Hemixos castanonotus"
"1685","Hypsipetes mcclellandii","Hypsipetes mcclellandii"
"1686","Hypsipetes virescens","Hypsipetes virescens"
"1687","Hypsipetes leucocephalus","Hypsipetes leucocephalus"
"1688","Hypsipetes thompsoni","Hypsipetes thompsoni"
"1689","Malia grata","Malia grata"
"1690","Cisticola juncidis","Cisticola juncidis"
"1691","Cisticola exilis","Cisticola exilis"
"1692","Prinia polychroa","Prinia polychroa"
"1693","Prinia atrogularis","Prinia atrogularis"
"1694","Prinia rufescens","Prinia rufescens"
"1695","Prinia hodgsonii","Prinia hodgsonii"
"1696","Prinia familiaris","Prinia familiaris"
"1697","Prinia flaviventris","Prinia flaviventris"
"1698","Prinia inornata","Prinia inornata"
"1699","Zosterops palpebrosus","Zosterops palpebrosus"
"1700","Zosterops japonicus","Zosterops japonicus"
"1701","Zosterops meyeni","Zosterops meyeni"
"1702","Zosterops atricapilla","Zosterops atricapilla"
"1703","Zosterops everetti","Zosterops everetti"
"1704","Zosterops nigrorum","Zosterops nigrorum"
"1705","Zosterops montanus","Zosterops montanus"
"1706","Zosterops flavus","Zosterops flavus"
"1707","Zosterops chloris","Zosterops chloris"
"1708","Zosterops citrinella","Zosterops citrinella"
"1709","Zosterops consobrinorum","Zosterops consobrinorum"
"1710","Zosterops anomalus","Zosterops anomalus"
"1711","Zosterops wallacei","Zosterops wallacei"
"1712","Zosterops atrifrons","Zosterops atrifrons"
"1713","Zosterops atriceps","Zosterops atriceps"
"1714","Zosterops minor","Zosterops minor"
"1715","Zosterops hypoxanthus","Zosterops hypoxanthus"
"1716","Zosterops fuscicapilla","Zosterops fuscicapilla"
"1717","Zosterops buruensis","Zosterops buruensis"
"1718","Zosterops novaeguineae","Zosterops novaeguineae"
"1719","Zosterops luteus","Zosterops luteus"
"1720","Zosterops metcalfii","Zosterops metcalfii"
"1721","Zosterops lateralis","Zosterops lateralis"
"1722","Tephrozosterops stalkeri","Tephrozosterops stalkeri"
"1723","Madanga ruficollis","Madanga ruficollis"
"1724","Lophozosterops javanicus","Lophozosterops javanicus"
"1725","Lophozosterops squamiceps","Lophozosterops squamiceps"
"1726","Lophozosterops dohertyi","Lophozosterops dohertyi"
"1727","Oculocincta squamifrons","Oculocincta squamifrons"
"1728","Heleia crassirostris","Heleia crassirostris"
"1729","Heleia muelleri","Heleia muelleri"
"1730","Chlorocharis emiliae","Chlorocharis emiliae"
"1731","Hypocryptadius cinnamomeus","Hypocryptadius cinnamomeus"
"1732","Tesia castaneocoronata","Tesia castaneocoronata"
"1733","Tesia olivea","Tesia olivea"
"1734","Tesia cyaniventer","Tesia cyaniventer"
"1735","Tesia superciliaris","Tesia superciliaris"
"1736","Tesia everetti","Tesia everetti"
"1737","Urosphena subulata","Urosphena subulata"
"1738","Urosphena whiteheadi","Urosphena whiteheadi"
"1739","Cettia pallidipes","Cettia pallidipes"
"1740","Cettia diphone","Cettia diphone"
"1741","Cettia seebohmi","Cettia seebohmi"
"1742","Cettia vulcania","Cettia vulcania"
"1743","Bradypterus luteoventris","Bradypterus luteoventris"
"1744","Bradypterus seebohmi","Bradypterus seebohmi"
"1745","Bradypterus caudatus","Bradypterus caudatus"
"1746","Bradypterus castaneus","Bradypterus castaneus"
"1747","Acrocephalus stentoreus","Acrocephalus stentoreus"
"1748","Acrocephalus australis","Acrocephalus australis"
"1749","Orthotomus cuculatus","Orthotomus cuculatus"
"1750","Orthotomus heterolaemus","Orthotomus heterolaemus"
"1751","Orthotomus sutorius","Orthotomus sutorius"
"1752","Orthotomus atrogularis","Orthotomus atrogularis"
"1753","Orthotomus castaneiceps","Orthotomus castaneiceps"
"1754","Orthotomus frontalis","Orthotomus frontalis"
"1755","Orthotomus derbianus","Orthotomus derbianus"
"1756","Orthotomus sericeus","Orthotomus sericeus"
"1757","Orthotomus ruficeps","Orthotomus ruficeps"
"1758","Orthotomus sepium","Orthotomus sepium"
"1759","Orthotomus samarensis","Orthotomus samarensis"
"1760","Orthotomus nigriceps","Orthotomus nigriceps"
"1761","Orthotomus cinereiceps","Orthotomus cinereiceps"
"1762","Phylloscopus reguloides","Phylloscopus reguloides"
"1763","Phylloscopus hainanus","Phylloscopus hainanus"
"1764","Phylloscopus cantator","Phylloscopus cantator"
"1765","Phylloscopus olivaceus","Phylloscopus olivaceus"
"1766","Phylloscopus cebuensis","Phylloscopus cebuensis"
"1767","Phylloscopus trivirgatus","Phylloscopus trivirgatus"
"1768","Phylloscopus sarasinorum","Phylloscopus sarasinorum"
"1769","Phylloscopus presbytes","Phylloscopus presbytes"
"1770","Phylloscopus poliocephalus","Phylloscopus poliocephalus"
"1771","Seicercus affinis","Seicercus affinis"
"1772","Seicercus poliogenys","Seicercus poliogenys"
"1773","Seicercus castaniceps","Seicercus castaniceps"
"1774","Seicercus montis","Seicercus montis"
"1775","Seicercus grammiceps","Seicercus grammiceps"
"1776","Tickellia hodgsoni","Tickellia hodgsoni"
"1777","Abroscopus albogularis","Abroscopus albogularis"
"1778","Megalurus timoriensis","Megalurus timoriensis"
"1779","Megalurus palustris","Megalurus palustris"
"1780","Megalurus albolimbatus","Megalurus albolimbatus"
"1781","Megalurus gramineus","Megalurus gramineus"
"1782","Cincloramphus cruralis","Cincloramphus cruralis"
"1783","Eremiornis carteri","Eremiornis carteri"
"1784","Buettikoferella bivittata","Buettikoferella bivittata"
"1785","Megalurulus grosvenori","Megalurulus grosvenori"
"1786","Megalurulus whitneyi","Megalurulus whitneyi"
"1787","Megalurulus rubiginosus","Megalurulus rubiginosus"
"1788","Graminicola bengalensis","Graminicola bengalensis"
"1789","Garrulax palliatus","Garrulax palliatus"
"1790","Garrulax rufifrons","Garrulax rufifrons"
"1791","Garrulax perspicillatus","Garrulax perspicillatus"
"1792","Garrulax leucolophus","Garrulax leucolophus"
"1793","Garrulax monileger","Garrulax monileger"
"1794","Garrulax pectoralis","Garrulax pectoralis"
"1795","Garrulax lugubris","Garrulax lugubris"
"1796","Garrulax calvus","Garrulax calvus"
"1797","Garrulax strepitans","Garrulax strepitans"
"1798","Garrulax milleti","Garrulax milleti"
"1799","Garrulax chinensis","Garrulax chinensis"
"1800","Garrulax vassali","Garrulax vassali"
"1801","Garrulax gularis","Garrulax gularis"
"1802","Garrulax mitratus","Garrulax mitratus"
"1803","Garrulax merulinus","Garrulax merulinus"
"1804","Garrulax canorus","Garrulax canorus"
"1805","Garrulax sannio","Garrulax sannio"
"1806","Garrulax milnei","Garrulax milnei"
"1807","Liocichla phoenicea","Liocichla phoenicea"
"1808","Trichastoma rostratum","Trichastoma rostratum"
"1809","Trichastoma celebense","Trichastoma celebense"
"1810","Trichastoma bicolor","Trichastoma bicolor"
"1811","Leonardina woodi","Leonardina woodi"
"1812","Malacocincla abbotti","Malacocincla abbotti"
"1813","Malacocincla sepiaria","Malacocincla sepiaria"
"1814","Malacocincla malaccensis","Malacocincla malaccensis"
"1815","Malacocincla cinereiceps","Malacocincla cinereiceps"
"1816","Trichastoma pyrrogenys","Trichastoma pyrrogenys"
"1817","Pellorneum albiventre","Pellorneum albiventre"
"1818","Pellorneum ruficeps","Pellorneum ruficeps"
"1819","Pellorneum capistratum","Pellorneum capistratum"
"1820","Malacopteron magnirostre","Malacopteron magnirostre"
"1821","Malacopteron affine","Malacopteron affine"
"1822","Malacopteron cinereum","Malacopteron cinereum"
"1823","Malacopteron magnum","Malacopteron magnum"
"1824","Malacopteron palawanense","Malacopteron palawanense"
"1825","Malacopteron albogulare","Malacopteron albogulare"
"1826","Pomatorhinus hypoleucos","Pomatorhinus hypoleucos"
"1827","Pomatorhinus erythrogenys","Pomatorhinus erythrogenys"
"1828","Pomatorhinus schisticeps","Pomatorhinus schisticeps"
"1829","Pomatorhinus montanus","Pomatorhinus montanus"
"1830","Pomatorhinus ruficollis","Pomatorhinus ruficollis"
"1831","Pomatorhinus ochraceiceps","Pomatorhinus ochraceiceps"
"1832","Pomatorhinus ferruginosus","Pomatorhinus ferruginosus"
"1833","Jabouilleia danjoui","Jabouilleia danjoui"
"1834","Ptilocichla leucogrammica","Ptilocichla leucogrammica"
"1835","Ptilocichla mindanensis","Ptilocichla mindanensis"
"1836","Ptilocichla falcata","Ptilocichla falcata"
"1837","Kenopia striata","Kenopia striata"
"1838","Turdinus macrodactylus","Turdinus macrodactylus"
"1839","Turdinus rufipectus","Turdinus rufipectus"
"1840","Turdinus atrigularis","Turdinus atrigularis"
"1841","Turdinus marmorata","Turdinus marmorata"
"1842","Gypsophila crispifrons","Gypsophila crispifrons"
"1843","Napothera brevicaudata","Napothera brevicaudata"
"1844","Napothera crassa","Napothera crassa"
"1845","Robsonius rabori","Robsonius rabori"
"1846","Napothera epilepidota","Napothera epilepidota"
"1847","Pnoepyga pusilla","Pnoepyga pusilla"
"1848","Spelaeornis formosus","Spelaeornis formosus"
"1849","Stachyris ambigua","Stachyris ambigua"
"1850","Stachyris rufifrons","Stachyris rufifrons"
"1851","Stachyris ruficeps","Stachyris ruficeps"
"1852","Stachyris chrysaea","Stachyris chrysaea"
"1853","Stachyris plateni","Stachyris plateni"
"1854","Stachyris dennistouni","Stachyris dennistouni"
"1855","Stachyris nigrocapitata","Stachyris nigrocapitata"
"1856","Stachyris capitalis","Stachyris capitalis"
"1857","Dasycrotapha speciosa","Dasycrotapha speciosa"
"1858","Stachyris whiteheadi","Stachyris whiteheadi"
"1859","Stachyris striata","Stachyris striata"
"1860","Stachyris grammiceps","Stachyris grammiceps"
"1861","Stachyris herberti","Stachyris herberti"
"1862","Stachyris nigriceps","Stachyris nigriceps"
"1863","Stachyris poliocephala","Stachyris poliocephala"
"1864","Stachyris striolata","Stachyris striolata"
"1865","Stachyris leucotis","Stachyris leucotis"
"1866","Stachyris nigricollis","Stachyris nigricollis"
"1867","Stachyris thoracica","Stachyris thoracica"
"1868","Stachyris maculata","Stachyris maculata"
"1869","Stachyris erythroptera","Stachyris erythroptera"
"1870","Stachyris melanothorax","Stachyris melanothorax"
"1871","Macronous gularis","Macronous gularis"
"1872","Macronous flavicollis","Macronous flavicollis"
"1873","Macronous kelleyi","Macronous kelleyi"
"1874","Macronous striaticeps","Macronous striaticeps"
"1875","Macronous ptilosus","Macronous ptilosus"
"1876","Micromacronus leytensis","Micromacronus leytensis"
"1877","Timalia pileata","Timalia pileata"
"1878","Chrysomma sinense","Chrysomma sinense"
"1879","Turdoides earlei","Turdoides earlei"
"1880","Turdoides gularis","Turdoides gularis"
"1881","Leiothrix argentauris","Leiothrix argentauris"
"1882","Cutia nipalensis","Cutia nipalensis"
"1883","Pteruthius flaviscapis","Pteruthius flaviscapis"
"1884","Pteruthius melanotis","Pteruthius melanotis"
"1885","Pteruthius aenobarbus","Pteruthius aenobarbus"
"1886","Actinodura sodangorum","Actinodura sodangorum"
"1887","Actinodura ramsayi","Actinodura ramsayi"
"1888","Minla cyanouroptera","Minla cyanouroptera"
"1889","Minla strigula","Minla strigula"
"1890","Minla ignotincta","Minla ignotincta"
"1891","Alcippe cinerea","Alcippe cinerea"
"1892","Alcippe castaneceps","Alcippe castaneceps"
"1893","Alcippe rufogularis","Alcippe rufogularis"
"1894","Alcippe brunnea","Alcippe brunnea"
"1895","Alcippe dubia","Alcippe dubia"
"1896","Alcippe brunneicauda","Alcippe brunneicauda"
"1897","Alcippe poioicephala","Alcippe poioicephala"
"1898","Alcippe pyrrhoptera","Alcippe pyrrhoptera"
"1899","Alcippe peracensis","Alcippe peracensis"
"1900","Alcippe morrisonia","Alcippe morrisonia"
"1901","Crocias albonotatus","Crocias albonotatus"
"1902","Heterophasia annectens","Heterophasia annectens"
"1903","Heterophasia melanoleuca","Heterophasia melanoleuca"
"1904","Heterophasia picaoides","Heterophasia picaoides"
"1905","Yuhina castaniceps","Yuhina castaniceps"
"1906","Yuhina everetti","Yuhina everetti"
"1907","Yuhina bakeri","Yuhina bakeri"
"1908","Yuhina flavicollis","Yuhina flavicollis"
"1909","Yuhina humilis","Yuhina humilis"
"1910","Yuhina gularis","Yuhina gularis"
"1911","Yuhina nigrimenta","Yuhina nigrimenta"
"1912","Erpornis zantholeuca","Erpornis zantholeuca"
"1913","Paradoxornis gularis","Paradoxornis gularis"
"1914","Paradoxornis guttaticollis","Paradoxornis guttaticollis"
"1915","Paradoxornis nipalensis","Paradoxornis nipalensis"
"1916","Paradoxornis verreauxi","Paradoxornis verreauxi"
"1917","Paradoxornis davidianus","Paradoxornis davidianus"
"1918","Paradoxornis atrosuperciliaris","Paradoxornis atrosuperciliaris"
"1919","Paradoxornis ruficeps","Paradoxornis ruficeps"
"1920","Rhabdornis mystacalis","Rhabdornis mystacalis"
"1921","Rhabdornis grandis","Rhabdornis grandis"
"1922","Rhabdornis inornatus","Rhabdornis inornatus"
"1923","Mirafra javanica","Mirafra javanica"
"1924","Mirafra assamica","Mirafra assamica"
"1925","Calandrella raytal","Calandrella raytal"
"1926","Alauda gulgula","Alauda gulgula"
"1927","Prionochilus olivaceus","Prionochilus olivaceus"
"1928","Prionochilus maculatus","Prionochilus maculatus"
"1929","Prionochilus percussus","Prionochilus percussus"
"1930","Prionochilus plateni","Prionochilus plateni"
"1931","Prionochilus xanthopygius","Prionochilus xanthopygius"
"1932","Prionochilus thoracicus","Prionochilus thoracicus"
"1933","Dicaeum annae","Dicaeum annae"
"1934","Dicaeum agile","Dicaeum agile"
"1935","Dicaeum aeruginosum","Dicaeum aeruginosum"
"1936","Dicaeum everetti","Dicaeum everetti"
"1937","Dicaeum proprium","Dicaeum proprium"
"1938","Dicaeum chrysorrheum","Dicaeum chrysorrheum"
"1939","Dicaeum melanoxanthum","Dicaeum melanoxanthum"
"1940","Dicaeum aureolimbatum","Dicaeum aureolimbatum"
"1941","Dicaeum nigrilore","Dicaeum nigrilore"
"1942","Dicaeum anthonyi","Dicaeum anthonyi"
"1943","Dicaeum bicolor","Dicaeum bicolor"
"1944","Dicaeum haematostictum","Dicaeum haematostictum"
"1945","Dicaeum retrocinctum","Dicaeum retrocinctum"
"1946","Dicaeum trigonostigma","Dicaeum trigonostigma"
"1947","Dicaeum hypoleucum","Dicaeum hypoleucum"
"1948","Dicaeum erythrorhynchos","Dicaeum erythrorhynchos"
"1949","Dicaeum concolor","Dicaeum concolor"
"1950","Dicaeum pygmaeum","Dicaeum pygmaeum"
"1951","Dicaeum nehrkorni","Dicaeum nehrkorni"
"1952","Dicaeum erythrothorax","Dicaeum erythrothorax"
"1953","Dicaeum vulneratum","Dicaeum vulneratum"
"1954","Dicaeum pectorale","Dicaeum pectorale"
"1955","Dicaeum geelvinkianum","Dicaeum geelvinkianum"
"1956","Dicaeum eximium","Dicaeum eximium"
"1957","Dicaeum aeneum","Dicaeum aeneum"
"1958","Dicaeum igniferum","Dicaeum igniferum"
"1959","Dicaeum maugei","Dicaeum maugei"
"1960","Dicaeum ignipectus","Dicaeum ignipectus"
"1961","Dicaeum monticolum","Dicaeum monticolum"
"1962","Dicaeum celebicum","Dicaeum celebicum"
"1963","Dicaeum sanguinolentum","Dicaeum sanguinolentum"
"1964","Dicaeum hirundinaceum","Dicaeum hirundinaceum"
"1965","Dicaeum cruentatum","Dicaeum cruentatum"
"1966","Dicaeum trochileum","Dicaeum trochileum"
"1967","Anthreptes simplex","Anthreptes simplex"
"1968","Anthreptes malacensis","Anthreptes malacensis"
"1969","Anthreptes rhodolaemus","Anthreptes rhodolaemus"
"1970","Anthreptes singalensis","Anthreptes singalensis"
"1971","Hypogramma hypogrammicum","Hypogramma hypogrammicum"
"1972","Nectarinia zeylonica","Nectarinia zeylonica"
"1973","Nectarinia sperata","Nectarinia sperata"
"1974","Nectarinia aspasia","Nectarinia aspasia"
"1975","Nectarinia calcostetha","Nectarinia calcostetha"
"1976","Nectarinia jugularis","Nectarinia jugularis"
"1977","Nectarinia buettikoferi","Nectarinia buettikoferi"
"1978","Nectarinia solaris","Nectarinia solaris"
"1979","Nectarinia asiatica","Nectarinia asiatica"
"1980","Aethopyga primigenia","Aethopyga primigenia"
"1981","Aethopyga boltoni","Aethopyga boltoni"
"1982","Aethopyga flagrans","Aethopyga flagrans"
"1983","Aethopyga pulcherrima","Aethopyga pulcherrima"
"1984","Aethopyga shelleyi","Aethopyga shelleyi"
"1985","Aethopyga gouldiae","Aethopyga gouldiae"
"1986","Aethopyga nipalensis","Aethopyga nipalensis"
"1987","Aethopyga eximia","Aethopyga eximia"
"1988","Aethopyga christinae","Aethopyga christinae"
"1989","Aethopyga saturata","Aethopyga saturata"
"1990","Aethopyga siparaja","Aethopyga siparaja"
"1991","Aethopyga mystacalis","Aethopyga mystacalis"
"1992","Aethopyga ignicauda","Aethopyga ignicauda"
"1993","Arachnothera longirostra","Arachnothera longirostra"
"1994","Arachnothera crassirostris","Arachnothera crassirostris"
"1995","Arachnothera robusta","Arachnothera robusta"
"1996","Arachnothera flavigaster","Arachnothera flavigaster"
"1997","Arachnothera chrysogenys","Arachnothera chrysogenys"
"1998","Arachnothera clarae","Arachnothera clarae"
"1999","Arachnothera affinis","Arachnothera affinis"
"2000","Arachnothera everetti","Arachnothera everetti"
"2001","Arachnothera magna","Arachnothera magna"
"2002","Arachnothera juliae","Arachnothera juliae"
"2003","Melanocharis arfakiana","Melanocharis arfakiana"
"2004","Melanocharis nigra","Melanocharis nigra"
"2005","Melanocharis longicauda","Melanocharis longicauda"
"2006","Melanocharis versteri","Melanocharis versteri"
"2007","Melanocharis striativentris","Melanocharis striativentris"
"2008","Melanocharis crassirostris","Melanocharis crassirostris"
"2009","Toxorhamphus poliopterus","Toxorhamphus poliopterus"
"2010","Toxorhamphus novaeguineae","Toxorhamphus novaeguineae"
"2011","Toxorhamphus iliolophus","Toxorhamphus iliolophus"
"2012","Oedistoma pygmaeum","Oedistoma pygmaeum"
"2013","Oreocharis arfaki","Oreocharis arfaki"
"2014","Paramythia montium","Paramythia montium"
"2015","Passer domesticus","Passer domesticus"
"2016","Passer rutilans","Passer rutilans"
"2017","Passer flaveolus","Passer flaveolus"
"2018","Passer montanus","Passer montanus"
"2019","Anthus rufulus","Anthus rufulus"
"2020","Anthus novaeseelandiae","Anthus novaeseelandiae"
"2021","Anthus similis","Anthus similis"
"2022","Anthus gutturalis","Anthus gutturalis"
"2023","Ploceus manyar","Ploceus manyar"
"2024","Ploceus philippinus","Ploceus philippinus"
"2025","Ploceus hypoxanthus","Ploceus hypoxanthus"
"2026","Amandava amandava","Amandava amandava"
"2027","Emblema pictum","Emblema pictum"
"2028","Oreostruthus fuliginosus","Oreostruthus fuliginosus"
"2029","Neochmia temporalis","Neochmia temporalis"
"2030","Neochmia phaeton","Neochmia phaeton"
"2031","Neochmia ruficauda","Neochmia ruficauda"
"2032","Neochmia modesta","Neochmia modesta"
"2033","Taeniopygia guttata","Taeniopygia guttata"
"2034","Taeniopygia bichenovii","Taeniopygia bichenovii"
"2035","Poephila personata","Poephila personata"
"2036","Poephila acuticauda","Poephila acuticauda"
"2037","Poephila cincta","Poephila cincta"
"2038","Erythrura hyperythra","Erythrura hyperythra"
"2039","Erythrura prasina","Erythrura prasina"
"2040","Erythrura viridifacies","Erythrura viridifacies"
"2041","Erythrura tricolor","Erythrura tricolor"
"2042","Erythrura trichroa","Erythrura trichroa"
"2043","Erythrura coloria","Erythrura coloria"
"2044","Erythrura papuana","Erythrura papuana"
"2045","Erythrura gouldiae","Erythrura gouldiae"
"2046","Lonchura striata","Lonchura striata"
"2047","Lonchura leucogastroides","Lonchura leucogastroides"
"2048","Lonchura fuscans","Lonchura fuscans"
"2049","Lonchura molucca","Lonchura molucca"
"2050","Lonchura punctulata","Lonchura punctulata"
"2051","Lonchura leucogastra","Lonchura leucogastra"
"2052","Lonchura tristissima","Lonchura tristissima"
"2053","Lonchura leucosticta","Lonchura leucosticta"
"2054","Lonchura malacca","Lonchura malacca"
"2055","Lonchura ferruginosa","Lonchura ferruginosa"
"2056","Lonchura quinticolor","Lonchura quinticolor"
"2057","Lonchura maja","Lonchura maja"
"2058","Lonchura pallida","Lonchura pallida"
"2059","Lonchura grandis","Lonchura grandis"
"2060","Lonchura vana","Lonchura vana"
"2061","Lonchura caniceps","Lonchura caniceps"
"2062","Lonchura nevermanni","Lonchura nevermanni"
"2063","Lonchura spectabilis","Lonchura spectabilis"
"2064","Lonchura forbesi","Lonchura forbesi"
"2065","Lonchura flaviprymna","Lonchura flaviprymna"
"2066","Lonchura castaneothorax","Lonchura castaneothorax"
"2067","Lonchura stygia","Lonchura stygia"
"2068","Lonchura teerinki","Lonchura teerinki"
"2069","Lonchura montana","Lonchura montana"
"2070","Lonchura monticola","Lonchura monticola"
"2071","Lonchura melaena","Lonchura melaena"
"2072","Heteromunia pectoralis","Heteromunia pectoralis"
"2073","Padda oryzivora","Padda oryzivora"
"2074","Serinus estherae","Serinus estherae"
"2075","Carduelis sinica","Carduelis sinica"
"2076","Carduelis ambigua","Carduelis ambigua"
"2077","Carduelis monguilloti","Carduelis monguilloti"
"2078","Loxia curvirostra","Loxia curvirostra"
"2079","Pyrrhula nipalensis","Pyrrhula nipalensis"
"2080","Pyrrhula leucogenis","Pyrrhula leucogenis"
"2081","Mycerobas melanozanthos","Mycerobas melanozanthos"
"2082","Melophus lathami","Melophus lathami"
"2083","Carpococcyx viridis","Carpococcyx viridis"
"2084","Aethopyga linaraborae","Aethopyga linaraborae"
"2085","Phapitreron brunneiceps","Phapitreron brunneiceps"
"2086","Cacatua ophthalmica","Cacatua ophthalmica"
"2087","Aegotheles tatei","Aegotheles tatei"
"2088","Aerodramus nuditarsus","Collocalia nuditarsus"
"2089","Padda fuscata","Padda fuscata"
"2090","Ninox ios","Ninox ios"
"2091","Esacus magnirostris","Esacus giganteus"
"2092","Otus sunia","Otus sunia"
"2093","Lonchura atricapilla","Lonchura atricapilla"
"2094","Gyps tenuirostris","Gyps tenuirostris"
"2095","Motacilla samveasnae","Motacilla samveasnae"
"2096","Clanga hastata","Aquila hastata"
"2097","Arborophila sumatrana","Arborophila sumatrana"
"2098","Scolopax rosenbergii","Scolopax rosenbergii"
"2099","Scolopax bukidnonensis","Scolopax bukidnonensis"
"2100","Ninox sumbaensis","Ninox sumbaensis"
"2101","Apalharpactes mackloti","Apalharpactes mackloti"
"2102","Cymbirhynchus macrorhynchos","Cymbirhynchus macrorhynchos"
"2103","Gampsorhynchus rufulus","Gampsorhynchus rufulus"
"2104","Phylloscopus davisoni","Phylloscopus davisoni"
"2105","Abroscopus superciliaris","Abroscopus superciliaris"
"2106","Acanthiza apicalis","Acanthiza apicalis"
"2107","Dicaeum australe","Dicaeum australe"
"2108","Anorrhinus austeni","Anorrhinus austeni"
"2109","Trichastoma tickelli","Trichastoma tickelli"
"2110","Trichastoma buettikoferi","Trichastoma buettikoferi"
"2111","Nisaetus floris","Nisaetus floris"
"2112","Loriculus sclateri","Loriculus sclateri"
"2113","Aethopyga bella","Aethopyga bella"
"2114","Arborophila rolli","Arborophila rolli"
"2115","Bradypterus montis","Bradypterus montis"
"2116","Chloropsis kinabaluensis","Chloropsis kinabaluensis"
"2117","Chloropsis media","Chloropsis media"
"2118","Mirafra microptera","Mirafra microptera"
"2119","Orthonyx novaeguineae","Orthonyx novaeguineae"
"2120","Pitta ussheri","Pitta ussheri"
"2121","Zosterops stalkeri","Zosterops stalkeri"
"2122","Caprimulgus meesi","Caprimulgus meesi"
"2123","Zoothera mendeni","Zoothera mendeni"
"2124","Myophonus castaneus","Myophonus castaneus"
"2125","Myophonus borneensis","Myophonus borneensis"
"2126","Zoothera joiceyi","Zoothera joiceyi"
"2127","Hieraaetus weiskei","Hieraaetus weiskei"
"2128","Bradypterus mandelli","Bradypterus mandelli"
"2129","Phylloscopus ogilviegranti","Phylloscopus ogilviegranti"
"2130","Mirafra erythrocephala","Mirafra erythrocephala"
"2131","Psilopogon faber","Megalaima faber"
"2132","Garrulax bicolor","Garrulax bicolor"
"2133","Garrulax castanotis","Garrulax castanotis"
"2134","Garrulax annamensis","Garrulax annamensis"
"2135","Garrulax chrysopterus","Garrulax chrysopterus"
"2136","Garrulax melanostigma","Garrulax melanostigma"
"2137","Garrulax peninsulae","Garrulax peninsulae"
"2138","Pomatorhinus gravivox","Pomatorhinus gravivox"
"2139","Pomatorhinus mcclellandi","Pomatorhinus mcclellandi"
"2140","Rimator albostriatus","Rimator albostriatus"
"2141","Spelaeornis reptatus","Spelaeornis reptatus"
"2142","Stachyris pygmaea","Stachyris pygmaea"
"2143","Macronous bornensis","Macronous bornensis"
"2144","Micromacronus sordidus","Micromacronus sordidus"
"2145","Cutia legalleni","Cutia legalleni"
"2146","Gampsorhynchus torquatus","Gampsorhynchus torquatus"
"2147","Alcippe klossi","Alcippe klossi"
"2148","Alcippe danisi","Alcippe danisi"
"2149","Alcippe grotei","Alcippe grotei"
"2150","Heterophasia desgodinsi","Heterophasia desgodinsi"
"2151","Yuhina torqueola","Yuhina torqueola"
"2152","Paradoxornis margaritae","Paradoxornis margaritae"
"2153","Certhia manipurensis","Certhia manipurensis"
"2154","Cuculus lepidus","Cuculus lepidus"
